id,user_id,skill_id,projectName,projectDescription,projectExperience,role,create_at,status
22,486,413,Presenting Skills Workshop Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,5 years,Team Lead,9/20/2023,pending
23,311,470,Python Data Analysis Automation,Enhance existing Power BI dashboards with advanced visualizations and data insights.,10 years,Designer,8/21/2023,pending
24,199,679,Project Management Tool Implementation,Develop a scalable and responsive web application using React for improved user experience.,7 months,Developer/Programmer,11/12/2023,Not Approved
25,984,570,Python Data Analysis Automation,Develop a scalable and responsive web application using React for improved user experience.,2 months,Subject Matter Expert (SME),7/18/2023,Not Approved
26,847,838,Presenting Skills Workshop Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,4 years,Team Lead,10/29/2023,Not Approved
27,408,273,Java Enterprise Application Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,5 months,Subject Matter Expert (SME),2/24/2024,pending
28,611,328,Power BI Dashboard Enhancement,Develop a scalable and responsive web application using React for improved user experience.,7 years,Project Manager,12/16/2023,Not Approved
29,879,79,Snowflake Data Warehouse Migration,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,7 years,Quality Assurance (QA) Engineer,5/29/2023,Not Approved
30,64,25,Snowflake Data Warehouse Migration,Enhance existing Power BI dashboards with advanced visualizations and data insights.,3 months,Designer,5/2/2023,pending
31,191,853,Presenting Skills Workshop Development,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,3 months,Quality Assurance (QA) Engineer,1/3/2024,Approved
32,863,899,Slides Template Redesign,Enhance existing Power BI dashboards with advanced visualizations and data insights.,7 months,Quality Assurance (QA) Engineer,6/24/2023,pending
33,544,32,PHP Forum Integration,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,5 years,Team Lead,10/29/2023,Not Approved
34,19,654,SQL Database Optimization Project,Enhance existing Power BI dashboards with advanced visualizations and data insights.,2 years,Team Lead,1/16/2024,Not Approved
35,448,368,Project Management Tool Implementation,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,1 month,Developer/Programmer,1/28/2024,Not Approved
36,602,350,Snowflake Data Warehouse Migration,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,6 months,Developer/Programmer,7/13/2023,pending
37,368,713,Presenting Skills Workshop Development,Develop a scalable and responsive web application using React for improved user experience.,5 months,Quality Assurance (QA) Engineer,2/11/2024,pending
38,328,842,Snowflake Data Warehouse Migration,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,1 month,Team Lead,10/11/2023,Approved
39,265,42,Snowflake Data Warehouse Migration,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,5 years,Team Lead,10/21/2023,Approved
40,14,510,Snowflake Data Warehouse Migration,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,1 years,Developer/Programmer,1/29/2024,Not Approved
41,878,263,React Web Application Development,Redesign presentation slides template to modernize branding and improve visual appeal.,8 months,Business Analyst,12/8/2023,Not Approved
42,948,597,Java Enterprise Application Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,1 month,Project Manager,11/30/2023,Approved
43,748,476,Project Management Tool Implementation,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,4 months,Project Manager,8/20/2023,Not Approved
44,732,791,Presenting Skills Workshop Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,10 years,Subject Matter Expert (SME),11/23/2023,Not Approved
45,960,715,Power BI Dashboard Enhancement,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,7 years,Business Analyst,11/27/2023,Approved
46,921,543,Snowflake Data Warehouse Migration,Develop a scalable and responsive web application using React for improved user experience.,9 months,Designer,4/25/2023,Approved
47,590,219,Slides Template Redesign,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,4 years,Business Analyst,6/30/2023,Not Approved
48,142,736,Java Enterprise Application Development,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,4 months,Business Analyst,2/29/2024,Not Approved
49,34,499,Project Management Tool Implementation,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,2 months,Quality Assurance (QA) Engineer,11/28/2023,Not Approved
50,129,335,Java Enterprise Application Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,7 months,Team Lead,7/23/2023,Approved
51,617,629,Python Data Analysis Automation,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,7 months,Business Analyst,7/18/2023,pending
52,642,546,Project Management Tool Implementation,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,10 months,Quality Assurance (QA) Engineer,3/25/2024,Approved
53,336,87,Java Enterprise Application Development,Redesign presentation slides template to modernize branding and improve visual appeal.,1 month,Business Analyst,11/29/2023,Approved
54,514,540,Project Management Tool Implementation,Enhance existing Power BI dashboards with advanced visualizations and data insights.,6 months,Team Lead,7/28/2023,Approved
55,47,681,Project Management Tool Implementation,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,4 years,Quality Assurance (QA) Engineer,3/16/2024,Not Approved
56,466,584,Python Data Analysis Automation,Enhance existing Power BI dashboards with advanced visualizations and data insights.,5 months,Project Manager,1/21/2024,Not Approved
57,836,265,React Web Application Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,6 months,Developer/Programmer,3/2/2024,Not Approved
58,477,242,Java Enterprise Application Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,7 years,Subject Matter Expert (SME),8/11/2023,pending
59,637,180,Project Management Tool Implementation,Redesign presentation slides template to modernize branding and improve visual appeal.,2 years,Team Lead,6/12/2023,Approved
60,682,70,Java Enterprise Application Development,Develop a scalable and responsive web application using React for improved user experience.,6 months,Designer,10/4/2023,Approved
61,341,585,Python Data Analysis Automation,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,3 months,Developer/Programmer,8/26/2023,Not Approved
62,864,71,Power BI Dashboard Enhancement,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,4 months,Subject Matter Expert (SME),2/22/2024,Approved
63,365,739,Project Management Tool Implementation,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,4 months,Designer,12/6/2023,pending
64,645,446,SQL Database Optimization Project,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,1 month,Business Analyst,10/23/2023,pending
65,16,978,Slides Template Redesign,Develop a scalable and responsive web application using React for improved user experience.,6 months,Quality Assurance (QA) Engineer,2/18/2024,pending
66,411,967,Java Enterprise Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,4 months,Team Lead,5/24/2023,pending
67,835,727,Java Enterprise Application Development,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,1 years,Developer/Programmer,5/26/2023,Approved
68,622,517,Project Management Tool Implementation,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,4 years,Subject Matter Expert (SME),5/4/2023,Not Approved
69,274,959,PHP Forum Integration,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,6 months,Quality Assurance (QA) Engineer,4/8/2023,Not Approved
70,260,437,Power BI Dashboard Enhancement,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,5 months,Team Lead,2/7/2024,Not Approved
71,416,672,Power BI Dashboard Enhancement,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,6 months,Team Lead,5/31/2023,Not Approved
72,385,498,Python Data Analysis Automation,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,2 months,Quality Assurance (QA) Engineer,4/25/2023,Approved
73,614,373,PHP Forum Integration,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,2 months,Project Manager,1/16/2024,pending
74,35,513,Snowflake Data Warehouse Migration,Enhance existing Power BI dashboards with advanced visualizations and data insights.,7 years,Developer/Programmer,4/13/2023,Not Approved
75,98,249,Python Data Analysis Automation,Redesign presentation slides template to modernize branding and improve visual appeal.,10 years,Project Manager,12/24/2023,Not Approved
76,425,61,PHP Forum Integration,Redesign presentation slides template to modernize branding and improve visual appeal.,1 years,Business Analyst,9/13/2023,pending
77,714,618,Slides Template Redesign,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,5 months,Project Manager,8/17/2023,Not Approved
78,81,435,SQL Database Optimization Project,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,8 months,Quality Assurance (QA) Engineer,8/31/2023,Not Approved
79,273,453,Slides Template Redesign,Redesign presentation slides template to modernize branding and improve visual appeal.,10 years,Subject Matter Expert (SME),11/27/2023,pending
80,10,386,Slides Template Redesign,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,5 months,Quality Assurance (QA) Engineer,2/20/2024,pending
81,173,623,Presenting Skills Workshop Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,8 months,Subject Matter Expert (SME),5/11/2023,Not Approved
82,480,666,Snowflake Data Warehouse Migration,Redesign presentation slides template to modernize branding and improve visual appeal.,9 months,Designer,3/11/2024,Approved
83,759,584,PHP Forum Integration,Develop a scalable and responsive web application using React for improved user experience.,1 month,Developer/Programmer,1/5/2024,pending
84,674,4,React Web Application Development,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,5 months,Project Manager,5/28/2023,Approved
85,556,692,Python Data Analysis Automation,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,1 month,Subject Matter Expert (SME),4/20/2023,Approved
86,808,193,Python Data Analysis Automation,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,1 month,Business Analyst,8/21/2023,Not Approved
87,6,681,Python Data Analysis Automation,Develop a scalable and responsive web application using React for improved user experience.,10 years,Quality Assurance (QA) Engineer,5/20/2023,pending
88,437,28,PHP Forum Integration,Enhance existing Power BI dashboards with advanced visualizations and data insights.,2 months,Quality Assurance (QA) Engineer,11/26/2023,Not Approved
89,793,277,Slides Template Redesign,Enhance existing Power BI dashboards with advanced visualizations and data insights.,4 years,Subject Matter Expert (SME),7/28/2023,Approved
90,714,105,Java Enterprise Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,5 months,Business Analyst,5/15/2023,Approved
91,437,609,SQL Database Optimization Project,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,2 years,Subject Matter Expert (SME),8/3/2023,Approved
92,83,664,Slides Template Redesign,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,1 month,Business Analyst,9/6/2023,pending
93,918,426,Presenting Skills Workshop Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,7 years,Subject Matter Expert (SME),5/13/2023,Not Approved
94,624,700,React Web Application Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,5 years,Team Lead,3/24/2024,Not Approved
95,538,684,PHP Forum Integration,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,4 months,Team Lead,8/14/2023,pending
96,278,910,Python Data Analysis Automation,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,3 months,Developer/Programmer,11/23/2023,Not Approved
97,916,604,SQL Database Optimization Project,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,3 months,Project Manager,4/16/2023,Not Approved
98,380,768,Java Enterprise Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,1 years,Business Analyst,1/9/2024,Not Approved
99,193,576,Java Enterprise Application Development,Enhance existing Power BI dashboards with advanced visualizations and data insights.,1 years,Business Analyst,3/16/2024,pending
100,747,135,Presenting Skills Workshop Development,Redesign presentation slides template to modernize branding and improve visual appeal.,8 months,Subject Matter Expert (SME),12/12/2023,Approved
101,344,614,Snowflake Data Warehouse Migration,Redesign presentation slides template to modernize branding and improve visual appeal.,8 months,Designer,2/11/2024,pending
102,508,655,PHP Forum Integration,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,5 months,Designer,11/22/2023,Not Approved
103,769,115,Power BI Dashboard Enhancement,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,5 years,Designer,7/11/2023,pending
104,499,741,React Web Application Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,1 month,Team Lead,11/12/2023,Approved
105,229,509,PHP Forum Integration,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,10 years,Team Lead,3/6/2024,Not Approved
106,793,905,Snowflake Data Warehouse Migration,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,7 years,Designer,7/11/2023,pending
107,63,694,Slides Template Redesign,Redesign presentation slides template to modernize branding and improve visual appeal.,3 months,Designer,11/5/2023,Approved
108,763,651,PHP Forum Integration,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,7 years,Team Lead,7/11/2023,pending
109,499,865,SQL Database Optimization Project,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,10 months,Subject Matter Expert (SME),7/28/2023,Not Approved
110,974,560,Snowflake Data Warehouse Migration,Enhance existing Power BI dashboards with advanced visualizations and data insights.,10 years,Business Analyst,9/25/2023,pending
111,917,881,Python Data Analysis Automation,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,5 years,Developer/Programmer,10/11/2023,Approved
112,27,694,Power BI Dashboard Enhancement,Redesign presentation slides template to modernize branding and improve visual appeal.,4 months,Business Analyst,1/6/2024,Approved
113,794,807,Power BI Dashboard Enhancement,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,1 years,Business Analyst,4/29/2023,Approved
114,188,410,Java Enterprise Application Development,Enhance existing Power BI dashboards with advanced visualizations and data insights.,10 years,Team Lead,10/28/2023,Not Approved
115,691,566,Power BI Dashboard Enhancement,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,6 months,Project Manager,3/19/2024,pending
116,700,412,Project Management Tool Implementation,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,1 years,Developer/Programmer,11/27/2023,Approved
117,543,66,SQL Database Optimization Project,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,7 months,Developer/Programmer,5/7/2023,Approved
118,345,373,React Web Application Development,Redesign presentation slides template to modernize branding and improve visual appeal.,4 years,Business Analyst,8/6/2023,Not Approved
119,81,307,Project Management Tool Implementation,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,10 months,Designer,9/9/2023,pending
120,506,851,Power BI Dashboard Enhancement,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,2 months,Team Lead,1/24/2024,pending
121,17,606,Snowflake Data Warehouse Migration,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,7 months,Subject Matter Expert (SME),10/4/2023,Not Approved
122,659,228,Java Enterprise Application Development,Enhance existing Power BI dashboards with advanced visualizations and data insights.,5 months,Designer,6/15/2023,Approved
123,171,842,Java Enterprise Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,9 months,Developer/Programmer,5/18/2023,Not Approved
124,907,885,Java Enterprise Application Development,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,4 years,Developer/Programmer,10/3/2023,Approved
125,868,604,Slides Template Redesign,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,4 months,Project Manager,3/8/2024,Not Approved
126,74,154,Power BI Dashboard Enhancement,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,7 years,Project Manager,2/16/2024,Approved
127,735,954,Slides Template Redesign,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,6 months,Developer/Programmer,1/29/2024,Approved
128,794,645,Presenting Skills Workshop Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,7 months,Subject Matter Expert (SME),4/1/2024,Approved
129,658,27,Java Enterprise Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,10 months,Team Lead,3/14/2024,Not Approved
130,598,100,SQL Database Optimization Project,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,5 years,Quality Assurance (QA) Engineer,6/18/2023,pending
131,931,610,Power BI Dashboard Enhancement,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,2 years,Team Lead,8/8/2023,Not Approved
132,670,607,Project Management Tool Implementation,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,4 years,Designer,8/6/2023,pending
133,26,219,PHP Forum Integration,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,1 years,Developer/Programmer,7/26/2023,pending
134,161,831,Presenting Skills Workshop Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,4 months,Quality Assurance (QA) Engineer,8/10/2023,pending
135,296,532,Java Enterprise Application Development,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,6 months,Project Manager,5/27/2023,pending
136,450,555,React Web Application Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,2 years,Quality Assurance (QA) Engineer,4/13/2023,Not Approved
137,833,240,Slides Template Redesign,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,2 years,Team Lead,1/16/2024,Not Approved
138,387,784,Power BI Dashboard Enhancement,Develop a scalable and responsive web application using React for improved user experience.,6 months,Developer/Programmer,5/19/2023,Not Approved
139,147,256,Project Management Tool Implementation,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,8 months,Subject Matter Expert (SME),1/9/2024,pending
140,806,970,React Web Application Development,Develop a scalable and responsive web application using React for improved user experience.,4 years,Subject Matter Expert (SME),4/6/2024,Approved
141,418,703,Power BI Dashboard Enhancement,Develop a scalable and responsive web application using React for improved user experience.,3 months,Quality Assurance (QA) Engineer,8/13/2023,pending
142,1000,288,Slides Template Redesign,Redesign presentation slides template to modernize branding and improve visual appeal.,8 months,Developer/Programmer,2/5/2024,Not Approved
143,622,424,PHP Forum Integration,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,10 years,Designer,5/22/2023,Not Approved
144,580,719,Presenting Skills Workshop Development,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,1 month,Developer/Programmer,1/7/2024,pending
145,499,3,PHP Forum Integration,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,7 years,Quality Assurance (QA) Engineer,3/31/2024,pending
146,963,901,SQL Database Optimization Project,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,3 months,Business Analyst,2/23/2024,Not Approved
147,149,762,PHP Forum Integration,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,3 months,Subject Matter Expert (SME),2/10/2024,Approved
148,886,595,SQL Database Optimization Project,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,10 years,Quality Assurance (QA) Engineer,5/14/2023,pending
149,923,692,SQL Database Optimization Project,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,8 months,Designer,7/10/2023,Not Approved
150,982,675,Project Management Tool Implementation,Develop a scalable and responsive web application using React for improved user experience.,7 months,Subject Matter Expert (SME),4/14/2023,pending
151,38,96,Snowflake Data Warehouse Migration,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,1 month,Team Lead,4/21/2023,pending
152,764,984,React Web Application Development,Enhance existing Power BI dashboards with advanced visualizations and data insights.,1 years,Developer/Programmer,3/13/2024,Not Approved
153,368,362,Presenting Skills Workshop Development,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,8 months,Quality Assurance (QA) Engineer,1/13/2024,Not Approved
154,36,891,Snowflake Data Warehouse Migration,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,2 months,Quality Assurance (QA) Engineer,6/18/2023,Approved
155,718,239,PHP Forum Integration,Develop a scalable and responsive web application using React for improved user experience.,6 months,Project Manager,1/15/2024,Approved
156,45,543,React Web Application Development,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,8 months,Subject Matter Expert (SME),12/6/2023,pending
157,122,184,SQL Database Optimization Project,Develop a scalable and responsive web application using React for improved user experience.,1 month,Quality Assurance (QA) Engineer,10/20/2023,pending
158,935,47,Python Data Analysis Automation,Develop a scalable and responsive web application using React for improved user experience.,10 months,Project Manager,3/20/2024,Approved
159,909,331,PHP Forum Integration,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,2 months,Team Lead,11/4/2023,pending
160,675,5,Presenting Skills Workshop Development,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,9 months,Project Manager,10/11/2023,pending
161,276,933,Power BI Dashboard Enhancement,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,4 months,Subject Matter Expert (SME),2/13/2024,Approved
162,945,885,Slides Template Redesign,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,2 years,Designer,10/20/2023,Approved
163,312,512,Java Enterprise Application Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,4 months,Project Manager,5/19/2023,pending
164,774,597,Presenting Skills Workshop Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,3 months,Developer/Programmer,8/6/2023,pending
165,818,647,Slides Template Redesign,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,4 years,Team Lead,9/24/2023,Approved
166,542,754,Project Management Tool Implementation,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,1 years,Subject Matter Expert (SME),7/16/2023,pending
167,461,402,Power BI Dashboard Enhancement,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,7 months,Quality Assurance (QA) Engineer,2/9/2024,Approved
168,404,890,PHP Forum Integration,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,10 years,Subject Matter Expert (SME),1/16/2024,Not Approved
169,278,645,Python Data Analysis Automation,Develop a scalable and responsive web application using React for improved user experience.,9 months,Subject Matter Expert (SME),6/10/2023,pending
170,639,48,SQL Database Optimization Project,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,1 month,Designer,7/30/2023,Not Approved
171,215,71,Project Management Tool Implementation,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,6 months,Designer,7/19/2023,pending
172,703,31,SQL Database Optimization Project,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,1 month,Quality Assurance (QA) Engineer,6/23/2023,Approved
173,930,898,Python Data Analysis Automation,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,3 months,Quality Assurance (QA) Engineer,6/20/2023,pending
174,430,898,Power BI Dashboard Enhancement,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,5 years,Quality Assurance (QA) Engineer,5/15/2023,Not Approved
175,398,192,Slides Template Redesign,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,5 years,Developer/Programmer,6/11/2023,Not Approved
176,952,381,Slides Template Redesign,Enhance existing Power BI dashboards with advanced visualizations and data insights.,4 months,Developer/Programmer,7/13/2023,Approved
177,994,698,Snowflake Data Warehouse Migration,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,1 years,Project Manager,9/8/2023,Approved
178,164,191,Presenting Skills Workshop Development,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,4 years,Subject Matter Expert (SME),4/9/2023,pending
179,122,648,Python Data Analysis Automation,Redesign presentation slides template to modernize branding and improve visual appeal.,5 months,Subject Matter Expert (SME),10/22/2023,pending
180,952,580,Python Data Analysis Automation,Develop a scalable and responsive web application using React for improved user experience.,4 months,Subject Matter Expert (SME),8/9/2023,Not Approved
181,49,382,Presenting Skills Workshop Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,4 years,Business Analyst,1/4/2024,Not Approved
182,749,256,Presenting Skills Workshop Development,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,5 months,Developer/Programmer,11/28/2023,pending
183,881,622,SQL Database Optimization Project,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,1 years,Quality Assurance (QA) Engineer,4/14/2023,Not Approved
184,534,769,PHP Forum Integration,Redesign presentation slides template to modernize branding and improve visual appeal.,4 months,Team Lead,6/27/2023,Not Approved
185,636,866,Power BI Dashboard Enhancement,Enhance existing Power BI dashboards with advanced visualizations and data insights.,8 months,Quality Assurance (QA) Engineer,5/14/2023,Approved
186,868,818,PHP Forum Integration,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,3 months,Team Lead,11/21/2023,pending
187,52,93,Project Management Tool Implementation,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,4 months,Project Manager,6/30/2023,Not Approved
188,143,27,Java Enterprise Application Development,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,5 months,Quality Assurance (QA) Engineer,4/22/2023,pending
189,984,838,Java Enterprise Application Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,1 years,Quality Assurance (QA) Engineer,3/2/2024,Approved
190,723,214,Presenting Skills Workshop Development,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,7 years,Developer/Programmer,9/24/2023,pending
191,280,6,Java Enterprise Application Development,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,8 months,Developer/Programmer,12/24/2023,pending
192,956,237,Project Management Tool Implementation,Redesign presentation slides template to modernize branding and improve visual appeal.,8 months,Developer/Programmer,5/17/2023,Not Approved
193,325,378,SQL Database Optimization Project,Develop a scalable and responsive web application using React for improved user experience.,1 years,Developer/Programmer,8/25/2023,pending
