id,user_id,skillname,proficiencyLevel,status,created_at
146,219,SVN),Intermediate,Approved,6/29/2023
147,604,Jira),Advanced,pending,7/10/2023
148,63,ServiceNow,Advanced,pending,6/22/2023
149,33,Time management,Advanced,pending,9/23/2023
150,525,Hadoop,Intermediate,Approved,12/30/2023
151,252,Leadership and team management,Advanced,Approved,10/11/2023
152,83,Business analysis,Intermediate,pending,1/4/2024
153,287,VMware virtualization,Beginner,Approved,3/14/2024
154,819,Deep learning,Intermediate,Approved,10/27/2023
155,959,Machine learning,Advanced,Not Approved,9/29/2023
156,781,React.js,Advanced,Not Approved,2/5/2024
157,410,JavaScript programming,Intermediate,pending,8/10/2023
158,83,Active listening.,Beginner,Not Approved,5/19/2023
159,460,Hadoop,Advanced,Not Approved,2/15/2024
160,534,Natural language processing,Intermediate,Not Approved,12/12/2023
161,826,Python programming,Beginner,Not Approved,12/1/2023
162,502,Jira),Advanced,Approved,5/2/2023
163,656,Python programming,Beginner,pending,7/9/2023
164,202,VMware virtualization,Beginner,pending,2/9/2024
165,104,Data visualization,Advanced,Approved,1/30/2024
166,899,Problem-solving,Advanced,Approved,8/18/2023
167,637,Enterprise integration,Beginner,Approved,10/29/2023
168,395,Compliance and regulatory knowledge,Intermediate,Approved,12/18/2023
169,885,Java programming,Beginner,pending,7/1/2023
170,225,Git,Beginner,Approved,4/25/2023
171,236,NoSQL database management,Beginner,pending,8/10/2023
172,143,Decision-making,Intermediate,Approved,6/20/2023
173,601,Java programming,Advanced,Approved,8/17/2023
174,862,Agile methodologies,Beginner,Approved,4/25/2023
175,648,Decision-making,Beginner,Approved,7/2/2023
176,684,Bash scripting,Advanced,Approved,6/29/2023
177,125,React.js,Beginner,pending,12/29/2023
178,914,Artificial intelligence,Advanced,Not Approved,5/29/2023
179,753,Data analysis,Advanced,Approved,4/17/2023
180,889,Mobile app development (iOS,Beginner,pending,2/11/2024
181,19,AWS cloud computing,Advanced,Not Approved,6/3/2023
182,66,Angular,Intermediate,Not Approved,5/17/2023
183,503,Big data technologies (e.g.,Intermediate,Not Approved,11/21/2023
184,3,RESTful APIs,Beginner,Approved,8/17/2023
185,221,Infrastructure as Code (IaC),Intermediate,Not Approved,11/25/2023
186,282,IoT (Internet of Things),Beginner,pending,8/21/2023
187,420,Cybersecurity,Beginner,pending,3/31/2024
188,106,Docker containerization,Advanced,Not Approved,7/12/2023
189,921,Azure cloud computing,Beginner,Not Approved,12/22/2023
190,797,Prototyping,Beginner,Approved,4/19/2023
191,206,Network security,Intermediate,pending,11/25/2023
192,597,C++ programming,Advanced,Approved,7/30/2023
193,535,PowerShell scripting,Intermediate,pending,11/13/2023
194,159,Critical thinking,Beginner,pending,3/4/2024
195,75,Decision-making,Beginner,pending,5/13/2023
196,932,Scrum,Intermediate,Approved,4/22/2023
197,697,Technical documentation,Advanced,Approved,10/2/2023
198,52,Sales and negotiation,Intermediate,Approved,9/23/2023
199,531,Email marketing,Advanced,Approved,5/6/2023
200,505,Cryptocurrency,Intermediate,Approved,2/5/2024
201,399,Robotics,Beginner,Not Approved,3/20/2024
202,561,Python programming,Intermediate,pending,8/7/2023
203,473,Leadership and team management,Intermediate,Approved,2/12/2024
204,449,Email marketing,Beginner,Not Approved,11/30/2023
205,781,NoSQL database management,Advanced,Approved,1/2/2024
206,138,Active listening.,Beginner,Approved,10/18/2023
207,909,SEO (Search Engine Optimization),Intermediate,pending,4/14/2023
208,908,Leadership and team management,Beginner,Approved,5/4/2023
209,924,Penetration testing,Intermediate,pending,2/22/2024
210,544,Enterprise integration,Intermediate,Not Approved,11/25/2023
211,657,Technical documentation,Advanced,Not Approved,5/8/2023
212,824,Continuous integration (CI),Advanced,Not Approved,4/12/2023
213,698,Spark),Intermediate,pending,3/4/2024
214,627,Data analysis,Advanced,pending,8/27/2023
215,154,Service management tools (e.g.,Advanced,Approved,12/14/2023
216,827,Java programming,Intermediate,Approved,2/22/2024
217,794,SEO (Search Engine Optimization),Beginner,pending,8/5/2023
218,340,UI/UX design,Advanced,pending,12/4/2023
219,414,IT project management,Beginner,Not Approved,10/15/2023
220,924,Technical writing,Intermediate,Not Approved,12/23/2023
221,829,Process improvement,Advanced,Not Approved,11/7/2023
222,927,Natural language processing,Advanced,Not Approved,2/1/2024
223,798,Infrastructure as Code (IaC),Advanced,Not Approved,10/21/2023
224,34,Docker containerization,Intermediate,Approved,2/26/2024
225,154,Decision-making,Intermediate,Approved,6/8/2023
226,900,Kanban,Intermediate,pending,1/7/2024
227,671,Linux system administration,Beginner,Not Approved,12/19/2023
228,694,Microservices architecture,Beginner,Not Approved,8/20/2023
229,218,Risk assessment and management,Beginner,pending,11/1/2023
230,677,PPC advertising,Intermediate,Approved,2/16/2024
231,321,Serverless architecture,Beginner,Approved,7/30/2023
232,811,Web development frameworks (e.g.,Advanced,Approved,11/16/2023
233,142,Wireframing,Beginner,Approved,12/10/2023
234,4,Enterprise integration,Intermediate,pending,6/17/2023
235,849,Business analysis,Advanced,pending,9/2/2023
236,397,Kubernetes orchestration,Advanced,pending,2/7/2024
237,615,Kubernetes orchestration,Intermediate,Not Approved,10/16/2023
238,695,RESTful APIs,Intermediate,Approved,12/9/2023
239,159,VMware virtualization,Beginner,Not Approved,2/25/2024
240,156,API design and management,Intermediate,pending,8/23/2023
241,452,C++ programming,Intermediate,Approved,8/1/2023
242,346,Data modeling,Beginner,pending,5/7/2023
243,963,Project planning and scheduling,Intermediate,Not Approved,12/11/2023
244,912,Usability testing,Advanced,Not Approved,11/13/2023
245,242,Usability testing,Beginner,pending,5/9/2023
246,816,Cryptography,Beginner,Not Approved,11/30/2023
247,314,Active listening.,Intermediate,pending,8/14/2023
248,159,Technical writing,Beginner,pending,3/14/2024
249,825,Service management tools (e.g.,Advanced,Not Approved,1/11/2024
250,962,Leadership and team management,Beginner,pending,5/22/2023
251,824,Data visualization,Advanced,pending,5/23/2023
252,626,Time management,Advanced,pending,10/14/2023
253,423,Scrum,Intermediate,Approved,3/25/2024
254,371,PowerShell scripting,Advanced,Approved,3/6/2024
255,25,React.js,Advanced,Not Approved,12/14/2023
256,351,Data modeling,Advanced,Approved,8/14/2023
257,110,Network administration,Beginner,Approved,10/1/2023
258,246,Change management,Intermediate,pending,4/22/2023
259,698,Customer relationship management (CRM),Beginner,pending,3/17/2024
260,254,Active listening.,Advanced,Approved,8/25/2023
261,530,Kanban,Advanced,Approved,5/2/2023
262,183,Docker containerization,Beginner,Approved,12/30/2023
263,832,Version control systems (e.g.,Beginner,Not Approved,10/26/2023
264,502,Digital marketing,Advanced,Approved,8/12/2023
265,223,Compliance and regulatory knowledge,Intermediate,Not Approved,6/2/2023
266,71,Serverless architecture,Intermediate,pending,6/10/2023
267,80,Customer relationship management (CRM),Beginner,pending,12/18/2023
268,189,HTML/CSS,Intermediate,Approved,3/20/2024
269,125,AWS cloud computing,Beginner,Not Approved,9/29/2023
270,475,Test-driven development (TDD),Advanced,Approved,3/30/2024
271,646,Technical writing,Intermediate,pending,3/25/2024
272,958,NoSQL database management,Beginner,Approved,6/26/2023
273,895,Bash scripting,Intermediate,Not Approved,1/6/2024
274,512,Conflict resolution,Beginner,Not Approved,12/9/2023
275,358,Machine learning,Beginner,Approved,11/17/2023
276,391,Test-driven development (TDD),Intermediate,pending,12/30/2023
277,363,Risk assessment and management,Beginner,Not Approved,10/8/2023
278,492,Business analysis,Beginner,Not Approved,10/11/2023
279,429,ITIL (Information Technology Infrastructure Library),Advanced,Approved,10/13/2023
280,387,Data analysis,Advanced,pending,12/9/2023
281,192,AWS cloud computing,Beginner,Approved,12/30/2023
282,97,Version control systems (e.g.,Advanced,Approved,5/24/2023
283,881,Enterprise integration,Advanced,Not Approved,3/6/2024
284,774,Problem-solving,Beginner,Approved,3/28/2024
285,270,C++ programming,Beginner,Not Approved,8/29/2023
286,846,Azure cloud computing,Advanced,pending,8/12/2023
287,904,Kubernetes orchestration,Advanced,pending,8/28/2023
288,271,IT asset management,Advanced,pending,12/18/2023
289,510,Creativity and innovation,Beginner,pending,3/20/2024
290,813,Social media management,Intermediate,Not Approved,1/28/2024
291,327,Google Cloud Platform,Intermediate,Not Approved,2/27/2024
292,264,Technical writing,Beginner,Not Approved,10/18/2023
293,669,Wireframing,Advanced,pending,8/30/2023
294,925,Cybersecurity,Intermediate,pending,8/26/2023
295,692,Content management systems (CMS),Beginner,pending,2/20/2024
296,177,Customer relationship management (CRM),Beginner,Approved,3/23/2024
297,915,Problem-solving,Intermediate,Approved,11/14/2023
298,683,Helpdesk support,Advanced,Approved,4/6/2024
299,829,Vendor management,Intermediate,Approved,12/23/2023
300,844,Data visualization,Beginner,Approved,11/25/2023
301,667,Adaptability,Advanced,pending,1/5/2024
302,252,Creativity and innovation,Intermediate,pending,12/22/2023
303,695,Creativity and innovation,Advanced,Approved,8/4/2023
304,143,Serverless architecture,Intermediate,pending,12/18/2023
305,282,Incident response,Intermediate,Approved,12/11/2023
306,808,SVN),Beginner,Approved,8/12/2023
307,276,Wireframing,Advanced,Approved,11/27/2023
308,15,JavaScript programming,Advanced,pending,7/1/2023
309,918,Business analysis,Intermediate,pending,1/13/2024
310,775,Linux system administration,Advanced,pending,5/20/2023
311,835,Vendor management,Intermediate,pending,1/27/2024
312,632,Natural language processing,Advanced,Approved,7/11/2023
313,379,Android),Intermediate,pending,4/1/2024
314,882,Web development frameworks (e.g.,Beginner,Approved,6/26/2023
315,263,Wireframing,Intermediate,Not Approved,4/15/2023
316,81,Google Cloud Platform,Intermediate,pending,2/23/2024
317,255,Active listening.,Advanced,Not Approved,3/28/2024
318,330,Business analysis,Beginner,pending,9/12/2023
319,332,Decision-making,Advanced,Not Approved,12/19/2023
320,188,Windows system administration,Advanced,pending,1/20/2024
321,639,Presentation skills,Beginner,pending,12/14/2023
322,423,Docker containerization,Beginner,Not Approved,5/30/2023
323,700,Process improvement,Beginner,Not Approved,2/12/2024
324,330,Security auditing,Beginner,Approved,5/23/2023
325,105,Jira),Intermediate,pending,10/24/2023
326,236,Git,Beginner,Not Approved,3/5/2024
327,411,Continuous deployment (CD),Advanced,Approved,8/3/2023
328,88,Helpdesk support,Advanced,Not Approved,6/26/2023
329,567,Penetration testing,Intermediate,Approved,2/20/2024
330,397,Bash scripting,Beginner,Not Approved,7/6/2023
331,903,Wireframing,Advanced,pending,12/11/2023
332,819,Python programming,Beginner,Approved,4/16/2023
333,580,Cybersecurity,Advanced,Approved,6/30/2023
334,569,Artificial intelligence,Advanced,pending,8/21/2023
335,56,Scrum,Intermediate,pending,3/13/2024
336,349,Compliance and regulatory knowledge,Intermediate,Approved,2/5/2024
337,733,Continuous deployment (CD),Intermediate,Approved,3/12/2024
338,806,ITIL (Information Technology Infrastructure Library),Advanced,Approved,3/16/2024
339,384,Linux system administration,Intermediate,Approved,3/18/2024
340,749,Agile methodologies,Intermediate,Approved,3/29/2024
341,165,Social media management,Beginner,pending,7/18/2023
342,698,Big data technologies (e.g.,Beginner,Approved,11/14/2023
343,605,Business continuity planning,Beginner,Not Approved,10/29/2023
344,621,HTML/CSS,Advanced,Approved,5/26/2023
345,16,Enterprise integration,Beginner,pending,4/28/2023
346,974,PowerShell scripting,Beginner,Not Approved,7/1/2023
347,612,Enterprise integration,Intermediate,Not Approved,2/26/2024
348,852,Technical documentation,Advanced,Approved,4/2/2024
349,469,Process improvement,Beginner,pending,5/16/2023
350,977,Leadership and team management,Intermediate,Not Approved,2/24/2024
351,423,Content management systems (CMS),Beginner,pending,9/16/2023
352,402,NoSQL database management,Beginner,Not Approved,3/27/2024
353,628,Conflict resolution,Intermediate,pending,11/18/2023
354,84,Enterprise integration,Intermediate,Not Approved,6/29/2023
355,217,Network security,Intermediate,pending,11/16/2023
356,641,Agile methodologies,Beginner,Not Approved,3/16/2024
357,11,JavaScript programming,Advanced,Not Approved,8/3/2023
358,207,Test automation,Advanced,Approved,2/29/2024
359,514,Blockchain technology,Advanced,Not Approved,7/9/2023
360,751,Computer vision,Advanced,Approved,10/20/2023
361,328,Cryptocurrency,Advanced,Not Approved,12/28/2023
362,715,Artificial intelligence,Advanced,pending,8/26/2023
363,779,Social media management,Beginner,pending,12/18/2023
364,430,GraphQL,Beginner,Not Approved,7/20/2023
365,209,Continuous deployment (CD),Advanced,Approved,8/20/2023
366,751,Test-driven development (TDD),Intermediate,Not Approved,1/7/2024
367,158,Creativity and innovation,Advanced,Not Approved,6/15/2023
368,337,Content management systems (CMS),Intermediate,Not Approved,3/28/2024
369,182,Spark),Intermediate,Approved,7/31/2023
370,106,Wireframing,Beginner,Approved,4/27/2023
371,933,Linux system administration,Intermediate,Not Approved,11/15/2023
372,523,Usability testing,Beginner,Not Approved,8/2/2023
373,130,Disaster recovery planning,Beginner,pending,1/7/2024
374,730,Vue.js),Advanced,Not Approved,4/29/2023
375,965,PPC advertising,Advanced,Approved,2/11/2024
376,167,Behavior-driven development (BDD),Advanced,pending,9/6/2023
377,476,Project planning and scheduling,Advanced,Not Approved,2/15/2024
378,6,UI/UX design,Advanced,Not Approved,6/5/2023
379,609,Cybersecurity,Advanced,Approved,1/13/2024
380,485,Behavior-driven development (BDD),Beginner,Not Approved,11/9/2023
381,71,RESTful APIs,Beginner,Not Approved,8/1/2023
382,13,Docker containerization,Beginner,Not Approved,10/22/2023
383,968,Mobile app development (iOS,Intermediate,Not Approved,7/17/2023
384,30,Deep learning,Intermediate,Not Approved,9/10/2023
385,583,Content management systems (CMS),Beginner,Approved,7/27/2023
386,116,Wireframing,Advanced,pending,11/30/2023
387,259,Cryptocurrency,Advanced,Approved,11/27/2023
388,550,AWS cloud computing,Beginner,Not Approved,7/17/2023
389,665,API design and management,Beginner,Approved,1/31/2024
390,305,Infrastructure as Code (IaC),Intermediate,Approved,3/17/2024
391,279,Decision-making,Beginner,Approved,11/19/2023
392,201,Agile methodologies,Intermediate,pending,12/30/2023
393,278,PPC advertising,Intermediate,Not Approved,11/20/2023
394,309,Project planning and scheduling,Intermediate,pending,7/22/2023
395,237,Critical thinking,Beginner,Approved,3/30/2024
396,10,Java programming,Intermediate,Approved,3/18/2024
397,885,Microservices architecture,Beginner,Not Approved,2/8/2024
398,213,Adaptability,Advanced,Not Approved,3/11/2024
399,318,Problem-solving,Intermediate,Approved,4/25/2023
400,851,Cryptography,Advanced,pending,1/2/2024
401,78,Social media management,Intermediate,Approved,4/12/2023
402,120,Machine learning,Intermediate,pending,1/11/2024
403,394,Creativity and innovation,Intermediate,Not Approved,10/19/2023
404,754,AWS cloud computing,Advanced,pending,12/27/2023
405,684,Python programming,Advanced,pending,7/17/2023
406,949,Change management,Beginner,Not Approved,11/2/2023
407,92,Continuous deployment (CD),Intermediate,Not Approved,7/16/2023
408,384,Service management tools (e.g.,Intermediate,Not Approved,9/7/2023
409,398,C++ programming,Intermediate,Not Approved,9/1/2023
410,90,Cryptography,Advanced,Approved,5/14/2023
411,509,Vendor management,Advanced,Approved,3/13/2024
412,622,Lean methodology,Advanced,Approved,4/29/2023
413,256,Active listening.,Intermediate,Approved,6/7/2023
414,971,UI/UX design,Intermediate,Approved,5/11/2023
415,176,Scrum,Beginner,Not Approved,7/14/2023
416,711,Spark),Advanced,pending,4/9/2023
417,72,Customer relationship management (CRM),Advanced,pending,7/26/2023
418,8,Problem-solving,Beginner,Approved,1/25/2024
419,334,PPC advertising,Beginner,pending,2/1/2024
420,380,HTML/CSS,Beginner,Approved,4/13/2023
421,111,Data analysis,Beginner,Approved,11/20/2023
422,308,SEO (Search Engine Optimization),Advanced,Not Approved,1/9/2024
423,359,API design and management,Intermediate,pending,8/15/2023
424,209,SEO (Search Engine Optimization),Intermediate,Not Approved,8/17/2023
425,1,UI/UX design,Intermediate,Not Approved,8/16/2023
426,788,JavaScript programming,Beginner,pending,7/5/2023
427,773,SVN),Beginner,Not Approved,8/7/2023
428,349,Test automation,Advanced,Approved,1/31/2024
429,454,Prototyping,Beginner,Not Approved,7/30/2023
430,683,Content management systems (CMS),Beginner,Not Approved,9/9/2023
431,348,Natural language processing,Beginner,Approved,6/4/2023
432,40,Android),Intermediate,Not Approved,4/21/2023
433,7,Business continuity planning,Advanced,Approved,4/23/2023
434,462,Natural language processing,Intermediate,pending,10/23/2023
435,218,Network security,Advanced,pending,6/28/2023
436,835,Git,Beginner,pending,4/21/2023
437,667,DevOps practices,Intermediate,Not Approved,3/31/2024
438,93,Cryptocurrency,Intermediate,Not Approved,10/11/2023
439,115,Identity and access management (IAM),Beginner,Approved,6/16/2023
440,990,GraphQL,Beginner,pending,10/4/2023
441,44,JavaScript programming,Beginner,pending,2/9/2024
442,75,Python programming,Intermediate,Not Approved,7/3/2023
443,19,IT asset management,Intermediate,Not Approved,4/29/2023
444,839,Leadership and team management,Advanced,Approved,12/10/2023
445,333,Prototyping,Advanced,pending,10/18/2023
446,635,Spark),Intermediate,Not Approved,8/11/2023
447,280,IT asset management,Beginner,Not Approved,3/26/2024
448,958,SEO (Search Engine Optimization),Advanced,Approved,2/13/2024
449,170,Vue.js),Advanced,Approved,7/11/2023
450,434,Bash scripting,Beginner,Not Approved,3/29/2024
451,792,Conflict resolution,Intermediate,Not Approved,4/11/2023
452,552,Big data technologies (e.g.,Advanced,pending,10/12/2023
453,882,JavaScript programming,Advanced,Approved,3/4/2024
454,231,IT asset management,Beginner,pending,6/7/2023
455,54,Web services,Beginner,Approved,2/2/2024
456,664,Scrum,Beginner,pending,10/20/2023
457,96,Security auditing,Intermediate,Not Approved,3/16/2024
458,321,Web services,Beginner,Not Approved,12/29/2023
459,911,ServiceNow,Advanced,pending,10/20/2023
460,170,Cryptography,Beginner,Approved,2/22/2024
461,616,Helpdesk support,Intermediate,Approved,10/2/2023
462,889,Technical writing,Beginner,Not Approved,11/1/2023
463,964,Content marketing,Advanced,Not Approved,9/14/2023
464,992,Scrum,Advanced,Approved,2/17/2024
465,929,Jira),Intermediate,pending,2/6/2024
466,229,Creativity and innovation,Intermediate,pending,3/3/2024
467,137,Cryptography,Intermediate,Not Approved,12/15/2023
468,395,Kubernetes orchestration,Beginner,Approved,5/2/2023
469,496,HTML/CSS,Intermediate,Not Approved,1/25/2024
470,59,Disaster recovery planning,Advanced,Approved,5/3/2023
471,498,Usability testing,Beginner,pending,1/14/2024
472,768,Git,Beginner,pending,5/18/2023
473,632,Data modeling,Intermediate,Not Approved,11/14/2023
474,234,Microservices architecture,Advanced,pending,5/29/2023
475,655,Data analysis,Intermediate,Not Approved,1/28/2024
476,568,Problem-solving,Advanced,Not Approved,9/3/2023
477,126,IoT (Internet of Things),Advanced,Not Approved,5/4/2023
478,626,Social media management,Intermediate,Not Approved,11/9/2023
479,534,Risk assessment and management,Advanced,pending,4/15/2023
480,415,Usability testing,Intermediate,Not Approved,7/11/2023
481,835,IoT (Internet of Things),Beginner,pending,5/30/2023
482,564,Compliance and regulatory knowledge,Beginner,Approved,11/13/2023
483,328,IoT (Internet of Things),Advanced,Not Approved,12/31/2023
484,105,Disaster recovery planning,Intermediate,Not Approved,7/27/2023
485,514,Infrastructure as Code (IaC),Intermediate,Not Approved,12/4/2023
486,427,GraphQL,Intermediate,Not Approved,3/20/2024
487,190,Linux system administration,Beginner,Approved,7/4/2023
488,639,SQL database management,Intermediate,Not Approved,6/5/2023
489,415,Technical documentation,Advanced,Approved,11/14/2023
490,656,IT asset management,Beginner,pending,2/11/2024
491,149,Digital marketing,Advanced,Approved,6/26/2023
492,99,Web development frameworks (e.g.,Advanced,Approved,3/12/2024
493,713,Kanban,Beginner,Approved,8/11/2023
494,902,Network administration,Beginner,Approved,11/8/2023
495,30,Docker containerization,Intermediate,Not Approved,3/31/2024
